id,name,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,is_entire_apt,client_district,accommodates,bedrooms,beds,price_clean,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d
894925971613112298,Bed&BCN Arquimedes Barcelona,Sant Andreu,Sant Andreu,41.4392762,2.1873429,Entire rental unit,Entire home/apt,True,False,5,2.0,2.0,134.5,2.0,300,44,4.09,False,96,12912.0
895409765402118180,Cozy loft & terrace in Pl.España,la Font de la Guatlla,Sants-Montjuïc,41.37031,2.14833,Entire rental unit,Entire home/apt,True,False,2,1.0,1.0,77.92,32.0,297,27,4.7,False,255,19870.0
895597770319813755,"Bright quiet flat - office, 2 balconies, park view",el Poble Sec,Sants-Montjuïc,41.37083969694081,2.166748723106313,Entire rental unit,Entire home/apt,True,False,2,1.0,1.0,115.98,32.0,317,8,5.0,True,128,14845.0
895627387344684828,Apartments BCN Central-Atico Sants,Sants,Sants-Montjuïc,41.37792060389344,2.138678785712056,Entire rental unit,Entire home/apt,True,False,5,2.0,4.0,215.67,1.0,274,115,4.56,False,255,54996.0
896101518808265820,Cozy apartment with terrace,el Poblenou,Sant Martí,41.4005054,2.2040184,Entire rental unit,Entire home/apt,True,False,4,1.0,1.0,287.6,4.0,44,66,4.92,False,152,43715.0
896271282879737820,Private Suite in Eixample/Born,la Dreta de l'Eixample,Eixample,41.3911837989465,2.176831098084631,Private room in rental unit,Private room,False,True,2,,1.0,46.46,31.0,185,10,4.7,False,186,8642.0
896284371144267389,Dúplex with terrace,el Poblenou,Sant Martí,41.40406952241462,2.197751391046109,Entire rental unit,Entire home/apt,True,False,4,2.0,2.0,68.84,31.0,44,10,5.0,False,124,8536.0
896847329247516825,Urban Elegance / Wi-Fi/ Terrace / 4 BR 2BR 7PP,la Dreta de l'Eixample,Eixample,41.38581,2.16841,Entire rental unit,Entire home/apt,True,True,7,4.0,4.0,621.83,2.0,358,68,4.94,False,72,44772.0
897108416622306240,Amplio y moderno piso en Born,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38597646288845,2.180297670120809,Private room in rental unit,Private room,False,True,1,,1.0,47.04,31.0,89,0,,False,0,0.0
897642205362895900,Purrfect Stay in Grácia,la Vila de Gràcia,Gràcia,41.40155619999999,2.1577063,Entire rental unit,Entire home/apt,True,True,2,1.0,2.0,144.52,31.0,358,0,,False,0,0.0
897702795564152772,Piso para estudiantes de 4 habitaciones,Sants - Badal,Sants-Montjuïc,41.375146963131264,2.123860632544617,Entire rental unit,Entire home/apt,True,False,6,4.0,4.0,132.74,31.0,322,2,4.5,False,0,0.0
897932854878269795,Sant Antoni | Wi-Fi | Washer | Kitchen | TV,Sant Antoni,Eixample,41.379269947014,2.1626513953122,Entire rental unit,Entire home/apt,True,True,6,4.0,4.0,497.65,1.0,341,107,4.73,False,192,95549.0
898224815241042753,Sants-Montjuïc | Terrace | Duplex | TV | Wi-Fi,Hostafrancs,Sants-Montjuïc,41.375290824535,2.1470202354379,Entire rental unit,Entire home/apt,True,False,10,4.0,7.0,620.09,1.0,302,72,4.56,False,126,78131.0
898225407397504275,Eixample | Private Balcony | Amazing Views | TV,Sant Antoni,Eixample,41.375490980933,2.1565137177907,Entire rental unit,Entire home/apt,True,True,6,4.0,6.0,332.21,1.0,351,84,4.76,False,168,55811.0
898225612303810666,Sant Martí | Private patio | 4 bedrooms | Wi-Fi,el Camp de l'Arpa del Clot,Sant Martí,41.412787392093,2.185849214154,Entire rental unit,Entire home/apt,True,False,7,4.0,6.0,349.54,1.0,317,93,4.59,False,162,56625.0
898276757093957812,Cozy 2-bedroom apartment with garden and pool,l'Antiga Esquerra de l'Eixample,Eixample,41.39171,2.15693,Entire rental unit,Entire home/apt,True,True,4,2.0,2.0,250.0,1.0,350,546,4.79,True,255,63750.0
898314756990084740,Jaiz - 2 bedrooms and terrace in Eixample Esquerra,l'Antiga Esquerra de l'Eixample,Eixample,41.38971,2.15152,Entire rental unit,Entire home/apt,True,True,4,2.0,2.0,115.07,31.0,306,0,,False,0,0.0
898401404834888386,Lovely loft near the beach,la Barceloneta,Ciutat Vella,41.3806386,2.1878909,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,59.19,32.0,57,8,4.13,False,0,0.0
898410022671225187,LV12 Barcelona Playa Mar-Bella Poblenou,el Poblenou,Sant Martí,41.401947851583,2.2055732969622213,Entire rental unit,Entire home/apt,True,False,4,2.0,2.0,221.0,1.0,280,92,4.6,False,174,38454.0
898412434567537749,LV Ático en Poblenou Playa Barcelona,el Poblenou,Sant Martí,41.40207597472023,2.206442073712352,Entire rental unit,Entire home/apt,True,False,4,2.0,2.0,221.0,1.0,273,106,4.77,False,198,43758.0
898560962298545613,Unique Apt in the heart of historic Barcelona,el Raval,Ciutat Vella,41.38172,2.16988,Entire rental unit,Entire home/apt,True,True,2,1.0,2.0,121.92,2.0,358,79,4.51,False,144,17556.0
898943786259930598,Paseo de Gracia with Terrace,la Dreta de l'Eixample,Eixample,41.3882079,2.1692814,Entire rental unit,Entire home/apt,True,True,4,1.0,1.0,361.0,2.0,265,16,4.44,False,24,8664.0
899017028977792694,Sant Antoni | Central location | 5 bed | WiFi | TV,Sant Antoni,Eixample,41.381558537574,2.1584353999929,Entire rental unit,Entire home/apt,True,True,7,4.0,5.0,465.94,1.0,330,70,4.43,False,102,47526.0
899017523131904526,Eixample | Luxury Penthouse | Private Terrace,Sant Antoni,Eixample,41.375490980933,2.1565137177907,Entire rental unit,Entire home/apt,True,True,3,3.0,4.0,251.08,1.0,333,90,4.73,False,120,30130.0
899017850207792392,Sants-Montjuïc | Terrace | Private balcony | 7 bed,Hostafrancs,Sants-Montjuïc,41.376211800313,2.1441040039941,Entire townhouse,Entire home/apt,True,False,10,5.0,7.0,781.46,1.0,332,63,4.6,False,120,93775.0
899145662508834585,Arros - 2 bedroom in El Born,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.3906,2.18242,Entire rental unit,Entire home/apt,True,True,4,2.0,2.0,129.21,31.0,63,3,4.67,False,124,16022.0
899179673624436144,"LV22 Capacidad 5 personas en Poblenou, cerca playa",el Poblenou,Sant Martí,41.40362100205464,2.204919518940693,Entire rental unit,Entire home/apt,True,False,5,2.0,3.0,273.0,1.0,268,98,4.62,False,222,60606.0
899245442811660718,LV31 Apartamento en Poblenou-Playa de Barcelona,el Poblenou,Sant Martí,41.40272698850279,2.204866603642288,Entire condo,Entire home/apt,True,False,4,2.0,2.0,267.0,1.0,246,92,4.74,False,174,46458.0
899292103075317653,Modern apartment in Sants w/ private balcony,Hostafrancs,Sants-Montjuïc,41.375460793642,2.1448646000117,Entire rental unit,Entire home/apt,True,False,4,2.0,3.0,222.59,1.0,354,173,4.49,False,255,56760.0
899322797491777204,Sants-Montjuïc | Balcony | Wi-Fi | Washer | TV,Hostafrancs,Sants-Montjuïc,41.37593571181,2.1412155276298,Entire rental unit,Entire home/apt,True,False,3,1.0,1.0,224.27,1.0,335,79,4.65,False,162,36332.0
899337137645826708,Sants-Montjuïc | Studio | Washer | TV | Wi-Fi,Hostafrancs,Sants-Montjuïc,41.375388665161,2.146062078858,Entire rental unit,Entire home/apt,True,False,2,,1.0,184.93,1.0,347,90,4.61,False,156,28849.0
899451106076133686,Beautiful Room in Bcn,l'Antiga Esquerra de l'Eixample,Eixample,41.39194176400681,2.1570591087906754,Private room in rental unit,Private room,False,True,1,,1.0,38.56,32.0,364,0,,False,0,0.0
899469948585699133,Perfect Room in Barcelona,la Dreta de l'Eixample,Eixample,41.39409,2.15635,Private room in rental unit,Private room,False,True,2,,1.0,38.56,32.0,364,0,,False,0,0.0
899476156665540470,Cozy and nice Room in Bcn,l'Antiga Esquerra de l'Eixample,Eixample,41.39225,2.15606,Private room in rental unit,Private room,False,True,1,,1.0,38.56,32.0,364,0,,False,0,0.0
899656745699012491,"Gracia apartment, vintage style",la Vila de Gràcia,Gràcia,41.40332322655868,2.159368661349904,Entire rental unit,Entire home/apt,True,True,4,2.0,4.0,213.02,3.0,248,74,4.81,True,138,29397.0
899762887673839233,2 Bedroom  Apartment,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.39077,2.18004,Entire rental unit,Entire home/apt,True,True,3,2.0,2.0,166.82,32.0,321,3,5.0,False,64,10676.0
899852424549269572,Aleu - 2 bedrooms and balcony in Sagrada Família,la Sagrada Família,Eixample,41.40672250701398,2.176936869668544,Entire rental unit,Entire home/apt,True,True,3,2.0,2.0,104.18,31.0,292,2,4.0,False,0,0.0
899873277553124971,Amazing room excellent location!,la Dreta de l'Eixample,Eixample,41.39396545622345,2.157077910569239,Private room in rental unit,Private room,False,True,1,,1.0,38.56,32.0,364,0,,False,0,0.0
899881580281840570,Wonderful room near Centre Bcn,l'Antiga Esquerra de l'Eixample,Eixample,41.39233,2.15781,Private room in rental unit,Private room,False,True,1,,1.0,38.56,32.0,364,0,,False,0,0.0
899892589958266165,Cozy and nice room in Eixample,l'Antiga Esquerra de l'Eixample,Eixample,41.39204,2.15772,Private room in rental unit,Private room,False,True,1,,1.0,38.56,32.0,364,0,,False,0,0.0
